GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finnMath Core,com.github.ltennstedt.finnmath.core.util,MathRandom,20,5565,11,633,0,719,11,525,0,214
finnMath Core,com.github.ltennstedt.finnmath.core.linear,AbstractVector,1,211,1,13,0,35,1,21,0,15
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigDecimalVector.BigDecimalVectorBuilder,0,33,0,0,0,5,0,3,0,3
finnMath Core,com.github.ltennstedt.finnmath.core.linear,SimpleComplexNumberMatrix.SimpleComplexNumberMatrixBuilder,0,26,0,0,0,4,0,3,0,3
finnMath Core,com.github.ltennstedt.finnmath.core.linear,AbstractVectorBuilder,30,154,6,8,7,27,7,11,2,9
finnMath Core,com.github.ltennstedt.finnmath.core.linear,AbstractMatrixBuilder,2,158,2,4,0,31,2,10,0,9
finnMath Core,com.github.ltennstedt.finnmath.core.linear,RealComplexNumberVector.RealComplexNumberVectorBuilder,0,34,0,0,0,5,0,3,0,3
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigIntegerMatrix.BigIntegerMatrixBuilder,0,26,0,0,0,4,0,3,0,3
finnMath Core,com.github.ltennstedt.finnmath.core.linear,RealComplexNumberMatrix.RealComplexNumberMatrixBuilder,0,26,0,0,0,4,0,3,0,3
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigDecimalVector,201,209,12,8,21,28,17,18,11,14
finnMath Core,com.github.ltennstedt.finnmath.core.linear,Matrices,0,232,0,24,0,28,0,24,0,12
finnMath Core,com.github.ltennstedt.finnmath.core.linear,SimpleComplexNumberMatrix,6,1142,3,77,1,141,4,79,1,42
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigIntegerMatrix,1,1134,1,73,0,136,1,81,0,45
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigDecimalMatrix.BigDecimalMatrixBuilder,0,26,0,0,0,4,0,3,0,3
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigIntegerVector,96,231,6,8,10,30,8,20,5,16
finnMath Core,com.github.ltennstedt.finnmath.core.linear,RealComplexNumberVector,444,217,12,8,54,28,33,18,27,14
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigDecimalMatrix,1046,1070,40,68,136,124,61,74,39,42
finnMath Core,com.github.ltennstedt.finnmath.core.linear,Vectors,0,60,0,8,0,8,0,8,0,4
finnMath Core,com.github.ltennstedt.finnmath.core.linear,BigIntegerVector.BigIntegerVectorBuilder,0,34,0,0,0,5,0,3,0,3
finnMath Core,com.github.ltennstedt.finnmath.core.linear,SimpleComplexNumberVector,101,217,4,8,12,28,8,18,6,14
finnMath Core,com.github.ltennstedt.finnmath.core.linear,SimpleComplexNumberVector.SimpleComplexNumberVectorBuilder,5,20,1,1,1,4,1,2,0,2
finnMath Core,com.github.ltennstedt.finnmath.core.linear,AbstractMatrix,0,245,1,21,0,44,1,34,0,24
finnMath Core,com.github.ltennstedt.finnmath.core.linear,RealComplexNumberMatrix,6,1137,2,78,1,139,3,80,1,42
finnMath Core,com.github.ltennstedt.finnmath.core.sqrt,SquareRootCalculator,29,312,17,27,0,60,17,14,0,9
finnMath Core,com.github.ltennstedt.finnmath.core.sqrt,SquareRootContext,107,64,24,12,11,17,21,7,3,7
finnMath Core,com.github.ltennstedt.finnmath.core.sqrt,SquareRootContext.SquareRootContextBuilder,79,31,4,0,18,6,11,2,9,2
finnMath Core,com.github.ltennstedt.finnmath.core.number,RealComplexNumber.RealComplexNumberComparator,0,22,0,8,0,7,0,5,0,1
finnMath Core,com.github.ltennstedt.finnmath.core.number,PolarForm,6,124,3,11,0,22,3,14,0,10
finnMath Core,com.github.ltennstedt.finnmath.core.number,RealComplexNumber,430,533,16,28,60,69,22,37,13,24
finnMath Core,com.github.ltennstedt.finnmath.core.number,Fraction,30,476,9,49,2,87,8,51,1,29
finnMath Core,com.github.ltennstedt.finnmath.core.number,SimpleComplexNumber,24,352,4,16,2,48,3,28,1,20
finnMath Core,com.github.ltennstedt.finnmath.core.number,AbstractComplexNumber,0,97,0,8,0,20,0,13,0,9
